review,rating,date,bank,source,cleaned_text,textblob_sentiment,vader_sentiment,transformer_sentiment,transformer_score
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,sync problem may 22 2025 date stack may 8 2025 help pls,neutral,positive,NEGATIVE,0.9966762065887451
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,ይህ መተግበሪያ በጣም ጥሩ ነው app nice,positive,positive,POSITIVE,0.9866935610771179
I hate this app 😒,1,2025-05-22,CBE,Google Play,hate app,negative,negative,NEGATIVE,0.9996696710586548
trustful,5,2025-05-22,CBE,Google Play,trustful,neutral,positive,POSITIVE,0.9998213648796082
I like,5,2025-05-22,CBE,Google Play,like,neutral,positive,POSITIVE,0.9910564422607422
update issue,4,2025-05-22,CBE,Google Play,update issue,neutral,neutral,POSITIVE,0.5473257899284363
its not working over safari network,1,2025-05-22,CBE,Google Play,working safari network,neutral,neutral,POSITIVE,0.8978402018547058
oldie,1,2025-05-22,CBE,Google Play,oldie,neutral,neutral,NEGATIVE,0.6663165092468262
it doesn't work,1,2025-05-21,CBE,Google Play,work,neutral,neutral,POSITIVE,0.9994449019432068
best,5,2025-05-21,CBE,Google Play,best,positive,positive,POSITIVE,0.9997941851615906
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,app good using well,positive,positive,POSITIVE,0.9997630715370178
ok,5,2025-05-21,CBE,Google Play,ok,positive,positive,POSITIVE,0.9997851252555847
best app,5,2025-05-21,CBE,Google Play,best app,positive,positive,POSITIVE,0.999686598777771
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,nice app android phone,positive,positive,POSITIVE,0.9996562004089355
good app,5,2025-05-21,CBE,Google Play,good app,positive,positive,POSITIVE,0.9998493194580078
Yes Yes,5,2025-05-21,CBE,Google Play,yes yes,neutral,positive,POSITIVE,0.9997482895851135
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,በጣም ከርፋፋ,neutral,neutral,NEGATIVE,0.7850592732429504
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,easy use helpful life,positive,positive,POSITIVE,0.9875379800796509
good 👍,4,2025-05-21,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
the best mobile banking app,5,2025-05-21,CBE,Google Play,best mobile banking app,positive,positive,POSITIVE,0.9997095465660095
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,app useful app save time secure,positive,positive,POSITIVE,0.9361007809638977
ok,2,2025-05-21,CBE,Google Play,ok,positive,positive,POSITIVE,0.9997851252555847
it's a good application 👍,5,2025-05-21,CBE,Google Play,good application,positive,positive,POSITIVE,0.999854564666748
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,screenshot reffresh option annoying make transaction delaying activity,negative,negative,NEGATIVE,0.9992175102233887
poor service,1,2025-05-21,CBE,Google Play,poor service,negative,negative,NEGATIVE,0.9996534585952759
amazing,5,2025-05-20,CBE,Google Play,amazing,positive,positive,POSITIVE,0.999875545501709
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,reliable easy use,positive,positive,POSITIVE,0.9996548891067505
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,annoying mobile banking app ever seen,negative,negative,NEGATIVE,0.9996514320373535
Cbe mobile banking,5,2025-05-20,CBE,Google Play,cbe mobile banking,neutral,neutral,POSITIVE,0.8304281234741211
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,ca make screenshout app please made modification,neutral,positive,NEGATIVE,0.9518901109695435
Best app I loved it,5,2025-05-19,CBE,Google Play,best app loved,positive,positive,POSITIVE,0.999723494052887
nice app,5,2025-05-19,CBE,Google Play,nice app,positive,positive,POSITIVE,0.9998061060905457
wow,5,2025-05-18,CBE,Google Play,wow,positive,positive,POSITIVE,0.999592125415802
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,amazing applicatiom sometimes doesnt work,positive,positive,NEGATIVE,0.9709928035736084
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,well satisfied beautiful app,positive,positive,POSITIVE,0.999863862991333
very good,4,2025-05-17,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
best app.,5,2025-05-17,CBE,Google Play,best app,positive,positive,POSITIVE,0.999686598777771
good,5,2025-05-17,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
"not working,why???",5,2025-05-17,CBE,Google Play,working,neutral,neutral,POSITIVE,0.9987824559211731
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,great impact developer option turnoff fix,positive,positive,POSITIVE,0.9929900169372559
excellent,5,2025-05-17,CBE,Google Play,excellent,positive,positive,POSITIVE,0.9998434782028198
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,always disappointing especially io one similar local application extremely superior application really disappointing,negative,negative,NEGATIVE,0.9997307658195496
woxe harimo ribiso,5,2025-05-17,CBE,Google Play,woxe harimo ribiso,neutral,neutral,NEGATIVE,0.9374372959136963
good,5,2025-05-16,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
"Good ,easy to use",5,2025-05-16,CBE,Google Play,good easy use,positive,positive,POSITIVE,0.9997110962867737
Good app,5,2025-05-15,CBE,Google Play,good app,positive,positive,POSITIVE,0.9998493194580078
Good job👍,5,2025-05-14,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
good,5,2025-05-14,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
nice,5,2025-05-14,CBE,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,please kindly ask update app allow u screenshot convenient efficient long add security access reason block u screenshooting screen,positive,positive,NEGATIVE,0.9865299463272095
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,using cbe mobile banking app overall appreciate feuteres however notticed turn developer option divice functioning prorerly great could look issue l often need access developer setting otter application thankyou attention matter,positive,positive,NEGATIVE,0.5854986906051636
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,customer service bad nothing good bank,positive,negative,NEGATIVE,0.9995587468147278
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,amazing mobile banking app screenshot receipt doesnt work,positive,positive,NEGATIVE,0.9937962293624878
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,fast simple easy use,positive,positive,POSITIVE,0.9955869913101196
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,fastest transferring app ever reliable,neutral,neutral,POSITIVE,0.9966121315956116
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,fund transferred bank reflect account even though confirmation text message received,neutral,neutral,NEGATIVE,0.9822893738746643
it's easy and fast,5,2025-05-10,CBE,Google Play,easy fast,positive,positive,POSITIVE,0.997892439365387
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,app self activation look near cbe branch disgusting,negative,negative,NEGATIVE,0.9990290403366089
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,hello dearest cbe office personnel make benefit using interest free account thanks help,positive,positive,POSITIVE,0.9981657862663269
wow best application ever,5,2025-05-09,CBE,Google Play,wow best application ever,positive,positive,POSITIVE,0.9997984766960144
good,5,2025-05-09,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,sorry developer mode application hack sure developer stupid doesnt make sense,negative,negative,NEGATIVE,0.9998055100440979
Best,4,2025-05-08,CBE,Google Play,best,positive,positive,POSITIVE,0.9997941851615906
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,pride ethiopian bank,neutral,positive,POSITIVE,0.9983717799186707
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,app telling turn developer option please fix,neutral,positive,NEGATIVE,0.9477198719978333
good,5,2025-05-07,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
ok,5,2025-05-07,CBE,Google Play,ok,positive,positive,POSITIVE,0.9997851252555847
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,happy small prob transfer cant put transfer cashe bil dic,positive,positive,POSITIVE,0.9675687551498413
good,3,2025-05-06,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
amazing apps,5,2025-05-06,CBE,Google Play,amazing apps,positive,positive,POSITIVE,0.9998716115951538
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,service mobile banking,neutral,neutral,POSITIVE,0.7986074090003967
needs improvement,1,2025-05-06,CBE,Google Play,need improvement,neutral,positive,NEGATIVE,0.983095109462738
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,miss old one could send mony bank,positive,negative,NEGATIVE,0.9977204203605652
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,app recently crushing time open try make transfer used good take lesson dashen super app ethiotelecom befitting experience glory inv3st making friendly convenient considering leaving cbe good,positive,positive,NEGATIVE,0.8116817474365234
good,5,2025-05-06,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
good but these week not oky,4,2025-05-06,CBE,Google Play,good week oky,positive,positive,POSITIVE,0.9998664855957031
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,well designed fixing bug two step verification biometric simply great,positive,positive,POSITIVE,0.9962579011917114
Good app,5,2025-05-06,CBE,Google Play,good app,positive,positive,POSITIVE,0.9998493194580078
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,developer reading please fix screenshot functionality least download button work flawlessly without touching twenty time,positive,positive,NEGATIVE,0.9819852709770203
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,great one thing placed transfer bank face like mobile charge card place,positive,positive,NEGATIVE,0.9724519848823547
CBE mobilr bankg,5,2025-05-05,CBE,Google Play,cbe mobilr bankg,neutral,neutral,POSITIVE,0.8703052997589111
wow,1,2025-05-05,CBE,Google Play,wow,positive,positive,POSITIVE,0.999592125415802
verygood,3,2025-05-05,CBE,Google Play,verygood,neutral,neutral,POSITIVE,0.9988996982574463
ممتاز جدا,5,2025-05-04,CBE,Google Play,ممتاز جدا,neutral,neutral,NEGATIVE,0.803174614906311
it's very low quality application,1,2025-05-04,CBE,Google Play,low quality application,neutral,negative,NEGATIVE,0.9989878535270691
Very Amazing Apps,5,2025-05-04,CBE,Google Play,amazing apps,positive,positive,POSITIVE,0.9998716115951538
አዛ,1,2025-05-04,CBE,Google Play,አዛ,neutral,neutral,NEGATIVE,0.6970565915107727
wow simple life,5,2025-05-04,CBE,Google Play,wow simple life,positive,positive,POSITIVE,0.9997076392173767
it's nice,5,2025-05-03,CBE,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
Why stacked sometimes,5,2025-05-03,CBE,Google Play,stacked sometimes,neutral,neutral,NEGATIVE,0.9902841448783875
good app,5,2025-05-03,CBE,Google Play,good app,positive,positive,POSITIVE,0.9998493194580078
nice,5,2025-05-03,CBE,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,okay sometimes busy,positive,positive,POSITIVE,0.995305597782135
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,worst commercial company fails even normal thing,negative,negative,NEGATIVE,0.9997966885566711
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,good app disappointed general cessation system,negative,negative,NEGATIVE,0.9282510876655579
excellent,5,2025-05-02,CBE,Google Play,excellent,positive,positive,POSITIVE,0.9998434782028198
good,5,2025-05-02,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
Good and fast,5,2025-05-02,CBE,Google Play,good fast,positive,positive,POSITIVE,0.9998499155044556
Unreliable!,1,2025-05-02,CBE,Google Play,unreliable,neutral,neutral,NEGATIVE,0.9997265934944153
Best the best fast,5,2025-05-02,CBE,Google Play,best best fast,positive,positive,POSITIVE,0.9998225569725037
good app,5,2025-05-02,CBE,Google Play,good app,positive,positive,POSITIVE,0.9998493194580078
happy,5,2025-05-02,CBE,Google Play,happy,positive,positive,POSITIVE,0.9998753070831299
fast and reliable,5,2025-05-02,CBE,Google Play,fast reliable,positive,neutral,POSITIVE,0.9998382329940796
network errorrrrrr,2,2025-05-02,CBE,Google Play,network errorrrrrr,neutral,neutral,NEGATIVE,0.9978076815605164
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,best app problem ca send money telebirr mpesa add could use full,positive,positive,NEGATIVE,0.9925957322120667
its good and simple to use,5,2025-05-02,CBE,Google Play,good simple use,positive,positive,POSITIVE,0.9997674822807312
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,worest app like bank security network access,neutral,positive,NEGATIVE,0.9937354922294617
it's the best app i,5,2025-05-02,CBE,Google Play,best app,positive,positive,POSITIVE,0.999686598777771
not bad not good,1,2025-05-02,CBE,Google Play,bad good,positive,negative,POSITIVE,0.9997218251228333
its very nice,5,2025-05-02,CBE,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
do not work this week,3,2025-04-30,CBE,Google Play,work week,neutral,neutral,POSITIVE,0.9412038326263428
It crashes frequently,4,2025-04-30,CBE,Google Play,crash frequently,positive,negative,NEGATIVE,0.9985750913619995
the best,5,2025-04-28,CBE,Google Play,best,positive,positive,POSITIVE,0.9997941851615906
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,simply describe app making work easier,neutral,positive,POSITIVE,0.9366992115974426
goid,5,2025-04-28,CBE,Google Play,goid,neutral,neutral,NEGATIVE,0.7087023258209229
best appearance,5,2025-04-27,CBE,Google Play,best appearance,positive,positive,POSITIVE,0.9996986389160156
it's very good 👍 app,5,2025-04-27,CBE,Google Play,good app,positive,positive,POSITIVE,0.9998493194580078
I need support you,5,2025-04-27,CBE,Google Play,need support,neutral,positive,NEGATIVE,0.9610944390296936
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,worst mobile banking ever seen life,negative,negative,NEGATIVE,0.9997971653938293
super,5,2025-04-26,CBE,Google Play,super,positive,positive,POSITIVE,0.998783528804779
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play,,neutral,neutral,POSITIVE,0.748120903968811
i like the app,5,2025-04-26,CBE,Google Play,like app,neutral,positive,POSITIVE,0.9840216040611267
the Best,1,2025-04-26,CBE,Google Play,best,positive,positive,POSITIVE,0.9997941851615906
nice,5,2025-04-26,CBE,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
good,5,2025-04-26,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
good,5,2025-04-25,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
